yyyy-mm-ddTHH:MM:SSZ, BB_20-24000 
2018-08-25T09:44:55.000Z, 102.719477
2018-08-25T10:04:55.000Z, 102.643226
2018-08-25T10:24:55.000Z, 103.821933
2018-08-25T10:44:55.000Z, 103.011471
2018-08-25T11:04:55.000Z, 102.688026
2018-08-25T11:24:55.000Z, 102.227322
2018-08-25T11:44:55.000Z, 102.202819
2018-08-25T12:04:55.000Z, 102.515473
2018-08-25T12:24:55.000Z, 102.221973
2018-08-25T12:44:55.000Z, 102.275897
2018-08-25T13:04:55.000Z, 101.918818
2018-08-25T13:24:55.000Z, 101.675755
2018-08-25T13:44:55.000Z, 101.617121
2018-08-25T14:04:55.000Z, 101.554262
2018-08-25T14:24:55.000Z, 101.665592
2018-08-25T14:44:55.000Z, 101.241931
2018-08-25T15:04:55.000Z, 101.071941
2018-08-25T15:24:55.000Z, 100.669026
2018-08-25T15:44:55.000Z, 100.667654
2018-08-25T16:04:55.000Z, 101.206683
2018-08-25T16:24:55.000Z, 101.123167
2018-08-25T16:44:55.000Z, 100.737098
2018-08-25T17:04:55.000Z, 101.104219
2018-08-25T17:24:55.000Z, 101.941813
2018-08-25T17:44:55.000Z, 100.971880
2018-08-25T18:04:55.000Z, 101.112904
2018-08-25T18:24:55.000Z, 100.914205
2018-08-25T18:44:55.000Z, 101.530629
2018-08-25T19:04:55.000Z, 100.762418
2018-08-25T19:24:55.000Z, 100.622727
2018-08-25T19:44:55.000Z, 100.456918
2018-08-25T20:04:55.000Z, 100.841572
2018-08-25T20:24:55.000Z, 101.014909
2018-08-25T20:44:55.000Z, 100.760200
2018-08-25T21:04:55.000Z, 101.271604
2018-08-25T21:24:55.000Z, 101.480057
2018-08-25T21:44:55.000Z, 101.038131
2018-08-25T22:04:55.000Z, 100.932558
2018-08-25T22:24:55.000Z, 100.857664
2018-08-25T22:44:55.000Z, 100.707753
2018-08-25T23:04:55.000Z, 101.693331
2018-08-25T23:24:55.000Z, 101.113363
2018-08-25T23:44:55.000Z, 101.583870
2018-08-26T00:04:55.000Z, 101.729170
2018-08-26T00:24:55.000Z, 100.823556
2018-08-26T00:44:55.000Z, 101.783344
2018-08-26T01:04:55.000Z, 102.384018
2018-08-26T01:24:55.000Z, 103.316147
2018-08-26T01:44:55.000Z, 102.771760
2018-08-26T02:04:55.000Z, 101.914703
2018-08-26T02:24:55.000Z, 102.805199
2018-08-26T02:44:55.000Z, 101.357367
2018-08-26T03:04:55.000Z, 101.790438
2018-08-26T03:24:55.000Z, 101.620885
2018-08-26T03:44:55.000Z, 101.566457
2018-08-26T04:04:55.000Z, 101.494166
2018-08-26T04:24:55.000Z, 101.942512
2018-08-26T04:44:55.000Z, 101.190061
2018-08-26T05:04:55.000Z, 101.185765
2018-08-26T05:24:55.000Z, 100.993989
2018-08-26T05:44:55.000Z, 100.920601
2018-08-26T06:04:55.000Z, 101.177499
2018-08-26T06:24:55.000Z, 101.146300
2018-08-26T06:44:55.000Z, 101.351339
2018-08-26T07:04:55.000Z, 101.455783
2018-08-26T07:24:55.000Z, 100.598298
2018-08-26T07:44:55.000Z, 100.535011
2018-08-26T08:04:55.000Z, 100.706225
2018-08-26T08:24:55.000Z, 100.411969
2018-08-26T08:44:55.000Z, 101.509347
2018-08-26T09:04:55.000Z, 100.499735
2018-08-26T09:24:55.000Z, 100.852931
2018-08-26T09:44:55.000Z, 100.824062
2018-08-26T10:04:55.000Z, 101.172348
2018-08-26T10:24:55.000Z, 101.495227
2018-08-26T10:44:55.000Z, 100.968705
2018-08-26T11:04:55.000Z, 100.977272
2018-08-26T11:24:55.000Z, 101.083235
2018-08-26T11:44:55.000Z, 100.463885
2018-08-26T12:04:55.000Z, 101.013774
2018-08-26T12:24:55.000Z, 101.062269
2018-08-26T12:44:55.000Z, 100.844553
2018-08-26T13:04:55.000Z, 100.957036
2018-08-26T13:24:55.000Z, 100.925535
2018-08-26T13:44:55.000Z, 101.173875
2018-08-26T14:04:55.000Z, 101.242352
2018-08-26T14:24:55.000Z, 100.789020
2018-08-26T14:44:55.000Z, 101.651538
2018-08-26T15:04:55.000Z, 100.280822
2018-08-26T15:24:55.000Z, 99.923984
2018-08-26T15:44:55.000Z, 100.342925
2018-08-26T16:04:55.000Z, 100.402713
2018-08-26T16:24:55.000Z, 101.147367
2018-08-26T16:44:55.000Z, 100.874861
2018-08-26T17:04:55.000Z, 100.402148
2018-08-26T17:24:55.000Z, 100.719465
2018-08-26T17:44:55.000Z, 100.857132
2018-08-26T18:04:55.000Z, 100.884625
2018-08-26T18:24:55.000Z, 101.098743
2018-08-26T18:44:55.000Z, 99.952784
2018-08-26T19:04:55.000Z, 99.962993
2018-08-26T19:24:55.000Z, 100.785418
2018-08-26T19:44:55.000Z, 100.388875
2018-08-26T20:04:55.000Z, 101.032383
